Round,Accuracy,AvgEpsilon
1,0.024148936170212767,1.1878280537074182
2,0.0030851063829787236,1.1878280537074182
3,0.029308510638297872,1.1878280537074182
4,0.03521276595744681,1.1878280537074182
5,0.03473404255319149,1.1878280537074182
6,0.039946808510638296,1.1878280537074182
7,0.035106382978723406,1.1878280537074182
8,0.026648936170212766,1.1878280537074182
9,0.025851063829787232,1.1878280537074182
10,0.04074468085106383,1.1878280537074182
11,0.0475,1.1878280537074182
12,0.04537234042553191,1.1878280537074182
13,0.042340425531914895,1.1878280537074182
14,0.051702127659574465,1.1878280537074182
15,0.043351063829787234,1.1878280537074182
16,0.049414893617021276,1.1878280537074182
17,0.04308510638297872,1.1878280537074182
18,0.04648936170212766,1.1878280537074182
19,0.03872340425531915,1.1878280537074182
20,0.03404255319148936,1.1878280537074182
21,0.03053191489361702,1.1878280537074182
22,0.02851063829787234,1.1878280537074182
23,0.027180851063829788,1.1878280537074182
24,0.03021276595744681,1.1878280537074182
25,0.02675531914893617,1.1878280537074182
26,0.02579787234042553,1.1878280537074182
27,0.02446808510638298,1.1878280537074182
28,0.02526595744680851,1.1878280537074182
29,0.022074468085106384,1.1878280537074182
30,0.024095744680851065,1.1878280537074182
